aa a:a:
aachen a:x@n
aale a:l@
aarburger a:6bU6g6
aare a:R@
aarklashs a:6klaSs
ab ap
abandon abEnd@n
abbau apbaU
abbauen apbaU@n
abbekommend apb@kOm@nt
abberufen apb@Ru:f@n
abbildung apbIldUN
abbildungen apbIldUN@n
abbot Eb@t
abbreviation abRe:vi:atsjo:n
abbreviationen abRe:vi:atsjo:n@n
abbreviatur abRe:vi:atu:6
abbreviaturen abRe:vi:atu:R@n
abbreviieren abRe:vi:i:R@n
abbruch apbRUx
abdampfen apdampf@n
abdel apdEl
abdelkadr apdElkad6
abdomens apdo:m@ns
abduziere apdu:tsi:R@
abebbend apEb@nt
abebbender apEb@nd6
abend a:b@nt
abendausgabe a:b@ntaUsga:b@
abende a:b@nd@
abendelangen a:b@nd@laN@n
abenden a:b@nd@n
abendessen a:b@ntEs@n
abendfüllend a:b@ntfYl@nt
abendlich a:b@ntlIC
abendländers a:b@ntlEnd6s
abendländisch a:b@ntlEndIS
abendmahl ab@ntma:l
abendrot a:b@ntRo:t
abends a:b@nts
abendstunden a:b@ntStUnd@n
abenteuer a:b@ntOY6
abenteuere a:b@ntOY6R@
abenteuerin a:b@ntOY6RIn
abenteuerinnen a:b@ntOY6RIn@n
abenteuerlich a:b@ntOY6lIC
abenteuerliches ab@ntOY6lIC@s
abenteuern a:b@ntOY6n
abenteuernd a:b@ntOY6nt
abenteuers a:b@ntOY6s
abenteuerst a:b@ntOY6st
abenteuert a:b@ntOY6t
abenteuerte a:b@ntOY6t@
abenteuerten a:b@ntOY6t@n
abenteuertest a:b@ntOY6t@st
abenteuertet a:b@ntOY6t@t
abenteurer a:b@ntOYR6
abenteurerin a:b@ntOYR6RIn
abenteurerinnen a:b@ntOYR6RIn@n
abenteurern a:b@ntOYR6n
abenteurers a:b@ntOYR6s
abenteurertum ab@ntOYR6tu:m
aber ab6
abfall apfal
abfallbeseitigung apfalb@zaItIgUN
abfallentsorgung apfalEntzO6gUN
abfallvermeidung apfalf6maIdUN
abfallwirtschaft apfalvI6tSaft
abfeuert apfOY6t
abfolge apfOlg@
abfärbend apfE6b@nt
abgabenfreier apga:b@nfRaI6
abgang apgaN
abgebaut apg@baUt
abgebend apge:b@nt
abgebildet apg@bIld@t
abgebogene apg@bo:g@n@
abgebrochen apg@bROx@n
abgedichtet apg@dICt@t
abgegeben apg@ge:b@n
abgehakt apg@hakt
abgehalten apg@halt@n
abgeholt apg@ho:lt
abgekühlt apg@ky:lt
abgekürzt apg@kYRtst
abgelegenes apg@le:g@n@s
abgelegt apg@le:kt
abgelegten apg@le:kt@n
abgelehnt apg@le:nt
abgeleitet apg@laIt@t
abgelöst apg@l2:st
abgenutzt apg@nUtst
abgeordnete apg@O6tn@t@
abgeordneten apg@O6tn@t@n
abgerissen apg@RIs@n
abgerutscht apg@RUtSt
abgeräumt apg@ROYmt
abgeschafft apg@Saft
abgeschaltet apg@Salt@t
abgeschlossen apg@SlOs@n
abgeschoben apg@So:b@n
abgesehen apg@ze:@n
abgesetzt apg@zEtst
abgesperrt apg@SpERt
abgespielt apg@Spi:lt
abgesprochen apg@SpROx@n
abgestoppt apg@StOpt
abgestürzt apg@StYRtst
abgetragen apg@tRa:g@n
abgetrennt apg@tREnt
abgetötet apg@t2:t@t
abgewickelt apg@vIk@lt
abgewrackt apg@vRakt
abgewählt apg@vE:lt
abgezogen apg@tso:g@n
abgezupft apg@tsUpft
abgrabend apgRa:b@nt
abgrenzung apgREntsUN
abgänge apgEN@
abgötterei apg9t@RaI
abhabend apha:b@nt
abhandlung aphantlUN
abheben aphe:b@n
abhebend aphe:b@nt
abhebt aphe:pt
abhängig aphENIC
abhängigkeit aphENICkaIt
abhängt aphENt
abhärmend aphE6m@nt
abiogenese abi:o:ge:ne:z@
